election_year,term_start,mayor,vote_percentage,vote_count,perks,event,other_candidates
389,"December 12, 2024",Aatrox,49.10%,"496,418.00","[1, 2]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""24.0%"", ""vote_count"": ""242871""}, {""mayor"": ""Paul"", ""vote_percentage"": ""19.9%"", ""vote_count"": ""200992""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""44512""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.6%"", ""vote_count"": ""25988""}]"
388,"December 7, 2024",Cole,64.10%,"753,333.00","[1, 2, 3, 4]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""19.1%"", ""vote_count"": ""223767""}, {""mayor"": ""Diana"", ""vote_percentage"": ""10.0%"", ""vote_count"": ""117061""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""3.5%"", ""vote_count"": ""41301""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""38889""}]"
387,"December 2, 2024",Diaz,36.90%,"408,198.00","[4, 3, 1]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""28.7%"", ""vote_count"": ""317493""}, {""mayor"": ""Marina"", ""vote_percentage"": ""26.1%"", ""vote_count"": ""288871""}, {""mayor"": ""Diana"", ""vote_percentage"": ""5.8%"", ""vote_count"": ""64501""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""26547""}]"
386,"November 27, 2024",Aatrox,66%,"749,285.00","[1, 2]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""21.8%"", ""vote_count"": ""247754""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""6.4%"", ""vote_count"": ""72454""}, {""mayor"": ""Cole"", ""vote_percentage"": ""5.8%"", ""vote_count"": ""66428""}, {""mayor"": ""Paul"", ""vote_percentage"": ""0.0%"", ""vote_count"": ""0""}]"
385,"November 21, 2024",Finnegan,55.50%,"529,297.00","[4, 2, 1]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""25.6%"", ""vote_count"": ""244155""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""8.5%"", ""vote_count"": ""80570""}, {""mayor"": ""Cole"", ""vote_percentage"": ""6.9%"", ""vote_count"": ""65354""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.6%"", ""vote_count"": ""33974""}]"
384,"November 16, 2024",Scorpius,86.30%,"1,000,534.00","[1, 2]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""6.6%"", ""vote_count"": ""76458""}, {""mayor"": ""Diana"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""50693""}, {""mayor"": ""Cole"", ""vote_percentage"": ""1.5%"", ""vote_count"": ""17141""}, {""mayor"": ""Paul"", ""vote_percentage"": ""1.2%"", ""vote_count"": ""14151""}]"
383,"November 11, 2024",Marina,50.70%,"499,322.00","[2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""25.8%"", ""vote_count"": ""254429""}, {""mayor"": ""Diana"", ""vote_percentage"": ""12.3%"", ""vote_count"": ""121384""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.9%"", ""vote_count"": ""57759""}, {""mayor"": ""Cole"", ""vote_percentage"": ""5.3%"", ""vote_count"": ""52399""}]"
382,"November 6, 2024",Paul,47%,"515,560.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""27.0%"", ""vote_count"": ""296663""}, {""mayor"": ""Marina"", ""vote_percentage"": ""16.1%"", ""vote_count"": ""177161""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.7%"", ""vote_count"": ""62170""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.2%"", ""vote_count"": ""46258""}]"
381,"November 1, 2024",Diana,48%,"453,196.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""26.8%"", ""vote_count"": ""252770""}, {""mayor"": ""Marina"", ""vote_percentage"": ""10.0%"", ""vote_count"": ""94500""}, {""mayor"": ""Paul"", ""vote_percentage"": ""8.6%"", ""vote_count"": ""81041""}, {""mayor"": ""Cole"", ""vote_percentage"": ""6.6%"", ""vote_count"": ""62628""}]"
380,"October 27, 2024",Aatrox,63.50%,"758,270.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""16.6%"", ""vote_count"": ""197981""}, {""mayor"": ""Diana"", ""vote_percentage"": ""12.8%"", ""vote_count"": ""152613""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""52878""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""32259""}]"
