election_year,term_start,mayor,vote_percentage,vote_count,perks,event,other_candidates
343,"April 18, 2024",Paul,74.60%,"724,264.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""10.7%"", ""vote_count"": ""104061""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""10.3%"", ""vote_count"": ""100461""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""21970""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""19888""}]"
342,"April 13, 2024",Marina,73.50%,"725,545.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""15.2%"", ""vote_count"": ""150375""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.7%"", ""vote_count"": ""45978""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.3%"", ""vote_count"": ""42178""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""22563""}]"
341,"April 8, 2024",Cole,74.10%,"755,127.00","[1, 2, 3]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""12.7%"", ""vote_count"": ""129117""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""10.2%"", ""vote_count"": ""103464""}, {""mayor"": ""Diana"", ""vote_percentage"": ""2.5%"", ""vote_count"": ""25747""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.5%"", ""vote_count"": ""5286""}]"
340,"April 3, 2024",Aatrox,72.50%,"782,999.00","[1, 2, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""19.0%"", ""vote_count"": ""205723""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""4.8%"", ""vote_count"": ""51781""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""21064""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.7%"", ""vote_count"": ""18389""}]"
339,"March 29, 2024",Diana,47.80%,"530,485.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""37.1%"", ""vote_count"": ""411981""}, {""mayor"": ""Paul"", ""vote_percentage"": ""11.7%"", ""vote_count"": ""130390""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.1%"", ""vote_count"": ""23181""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.3%"", ""vote_count"": ""14145""}]"
338,"March 24, 2024",Foxy,65.80%,"707,645.00","[2, 1, 3]",Mining Fiesta,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""12.3%"", ""vote_count"": ""132037""}, {""mayor"": ""Diana"", ""vote_percentage"": ""10.2%"", ""vote_count"": ""109740""}, {""mayor"": ""Cole"", ""vote_percentage"": ""7.8%"", ""vote_count"": ""83808""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""42858""}]"
337,"March 18, 2024",Marina,70.70%,"746,702.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""19.1%"", ""vote_count"": ""201515""}, {""mayor"": ""Diana"", ""vote_percentage"": ""6.0%"", ""vote_count"": ""63473""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""29345""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.5%"", ""vote_count"": ""15709""}]"
336,"March 13, 2024",Scorpius,98.00%,"1,306,734.00","[1, 2]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""11229""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""0.5%"", ""vote_count"": ""6085""}, {""mayor"": ""Diana"", ""vote_percentage"": ""0.3%"", ""vote_count"": ""4503""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.3%"", ""vote_count"": ""4293""}]"
335,"March 8, 2024",Finnegan,69.00%,"600,208.00","[1, 3, 2]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""14.1%"", ""vote_count"": ""122328""}, {""mayor"": ""Paul"", ""vote_percentage"": ""10.3%"", ""vote_count"": ""89111""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.7%"", ""vote_count"": ""31944""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""25764""}]"
334,"March 3, 2024",Aatrox,67.40%,"649,778.00","[1, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""13.8%"", ""vote_count"": ""132945""}, {""mayor"": ""Marina"", ""vote_percentage"": ""10.8%"", ""vote_count"": ""104435""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""5.3%"", ""vote_count"": ""50893""}, {""mayor"": ""Diana"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""26717""}]"
333,"February 27, 2024",Paul,59.20%,"556,688.00","[1, 2]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""32.8%"", ""vote_count"": ""308236""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.4%"", ""vote_count"": ""31625""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""22651""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""20595""}]"
332,"February 22, 2024",Diana,87.10%,"770,164.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""5.3%"", ""vote_count"": ""47063""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.1%"", ""vote_count"": ""35925""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.9%"", ""vote_count"": ""16472""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.6%"", ""vote_count"": ""14526""}]"
331,"February 16, 2024",Cole,51.90%,"521,056.00","[1, 2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""39.4%"", ""vote_count"": ""394841""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""4.6%"", ""vote_count"": ""45932""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""28298""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""1.3%"", ""vote_count"": ""13110""}]"
330,"February 11, 2024",Marina,55.70%,"498,342.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""25.2%"", ""vote_count"": ""225234""}, {""mayor"": ""Paul"", ""vote_percentage"": ""10.5%"", ""vote_count"": ""93695""}, {""mayor"": ""Cole"", ""vote_percentage"": ""5.5%"", ""vote_count"": ""48809""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""29391""}]"
329,"February 6, 2024",Aatrox,68.70%,"598,492.00","[1, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""13.1%"", ""vote_count"": ""114095""}, {""mayor"": ""Marina"", ""vote_percentage"": ""9.7%"", ""vote_count"": ""84594""}, {""mayor"": ""Paul"", ""vote_percentage"": ""5.7%"", ""vote_count"": ""49329""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""24502""}]"
328,"February 1, 2024",Jerry,95.10%,"884,471.00","[1, 2, 3]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""1.7%"", ""vote_count"": ""15757""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.4%"", ""vote_count"": ""12656""}, {""mayor"": ""Diana"", ""vote_percentage"": ""1.1%"", ""vote_count"": ""10279""}, {""mayor"": ""Cole"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""6568""}]"
327,"January 27, 2024",Paul,59.20%,"513,049.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""18.8%"", ""vote_count"": ""162494""}, {""mayor"": ""Marina"", ""vote_percentage"": ""17.5%"", ""vote_count"": ""151400""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""34932""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.5%"", ""vote_count"": ""4330""}]"
326,"January 22, 2024",Cole,59.20%,"515,636.00",[3],,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""21.5%"", ""vote_count"": ""186743""}, {""mayor"": ""Paul"", ""vote_percentage"": ""10.5%"", ""vote_count"": ""91165""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""7.6%"", ""vote_count"": ""65828""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.3%"", ""vote_count"": ""10946""}]"
325,"January 16, 2024",Diana,69.20%,"603,780.00",[2],,"[{""mayor"": ""Cole"", ""vote_percentage"": ""18.0%"", ""vote_count"": ""156802""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""7.2%"", ""vote_count"": ""63216""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.5%"", ""vote_count"": ""39167""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.1%"", ""vote_count"": ""9636""}]"
324,"January 11, 2024",Paul,79.40%,"614,807.00","[2, 3]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""12.2%"", ""vote_count"": ""94337""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.3%"", ""vote_count"": ""40865""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""18298""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""5912""}]"
323,"January 6, 2024",Aatrox,87.80%,"779,639.00","[1, 2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""5.0%"", ""vote_count"": ""44474""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""23987""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""23855""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.8%"", ""vote_count"": ""15936""}]"
322,"January 1, 2024",Cole,68.50%,"588,656.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""25.7%"", ""vote_count"": ""220985""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""20890""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""18675""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.2%"", ""vote_count"": ""10652""}]"
321,"December 27, 2023",Foxy,77.20%,"740,137.00","[2, 1, 3]",Fishing Festival,"[{""mayor"": ""Diaz"", ""vote_percentage"": ""10.9%"", ""vote_count"": ""104573""}, {""mayor"": ""Paul"", ""vote_percentage"": ""6.6%"", ""vote_count"": ""62833""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""28895""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""22259""}]"
320,"December 22, 2023",Derpy,95.50%,"876,967.00","[2, 1, 3, 4]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""22202""}, {""mayor"": ""Cole"", ""vote_percentage"": ""0.9%"", ""vote_count"": ""8691""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""6677""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.4%"", ""vote_count"": ""4077""}]"
319,"December 16, 2023",Marina,73.80%,"574,107.00","[1, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""11.8%"", ""vote_count"": ""91873""}, {""mayor"": ""Cole"", ""vote_percentage"": ""7.2%"", ""vote_count"": ""55964""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.7%"", ""vote_count"": ""44284""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.6%"", ""vote_count"": ""12093""}]"
318,"December 11, 2023",Diana,87.40%,"676,933.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""4.9%"", ""vote_count"": ""38191""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""21654""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""20710""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""16976""}]"
317,"December 6, 2023",Aatrox,90.50%,"714,200.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""3.4%"", ""vote_count"": ""26521""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""19079""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""17117""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.5%"", ""vote_count"": ""12145""}]"
316,"December 1, 2023",Paul,81.60%,"626,972.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""13.2%"", ""vote_count"": ""101096""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""17658""}, {""mayor"": ""Cole"", ""vote_percentage"": ""1.6%"", ""vote_count"": ""12372""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.4%"", ""vote_count"": ""10636""}]"
315,"November 26, 2023",Marina,66.10%,"543,129.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""22.8%"", ""vote_count"": ""187247""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""4.3%"", ""vote_count"": ""35498""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.6%"", ""vote_count"": ""29243""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""26270""}]"
314,"November 21, 2023",Finnegan,71.80%,"608,240.00","[1, 3, 2]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""16.3%"", ""vote_count"": ""138047""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""4.9%"", ""vote_count"": ""41116""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.8%"", ""vote_count"": ""32570""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""27099""}]"
313,"November 15, 2023",Cole,64.40%,"555,507.00","[1, 2, 3]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""19.2%"", ""vote_count"": ""165602""}, {""mayor"": ""Paul"", ""vote_percentage"": ""11.6%"", ""vote_count"": ""100401""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""34919""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""6273""}]"
312,"November 10, 2023",Scorpius,98.10%,"1,149,243.00","[1, 2]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""9327""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""8621""}, {""mayor"": ""Diana"", ""vote_percentage"": ""0.2%"", ""vote_count"": ""2695""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.2%"", ""vote_count"": ""2041""}]"
311,"November 5, 2023",Aatrox,69.60%,"617,402.00","[1, 2]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""14.3%"", ""vote_count"": ""127341""}, {""mayor"": ""Marina"", ""vote_percentage"": ""10.6%"", ""vote_count"": ""93922""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.8%"", ""vote_count"": ""33858""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.7%"", ""vote_count"": ""15098""}]"
310,"October 31, 2023",Diana,76.90%,"748,101.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""14.1%"", ""vote_count"": ""137579""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.7%"", ""vote_count"": ""35881""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.4%"", ""vote_count"": ""32731""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.9%"", ""vote_count"": ""18311""}]"
309,"October 26, 2023",Foxy,66.10%,"628,458.00","[2, 1, 3]",Spooky Festival,"[{""mayor"": ""Diana"", ""vote_percentage"": ""21.8%"", ""vote_count"": ""207118""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""7.1%"", ""vote_count"": ""67653""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.6%"", ""vote_count"": ""24951""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""22106""}]"
308,"October 21, 2023",Paul,74.00%,"648,896.00","[1, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""11.5%"", ""vote_count"": ""100687""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""6.3%"", ""vote_count"": ""55489""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.0%"", ""vote_count"": ""43424""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""27903""}]"
307,"October 15, 2023",Marina,73.10%,"678,433.00","[1, 2, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""16.8%"", ""vote_count"": ""156244""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""36705""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""28768""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""28418""}]"
306,"October 10, 2023",Cole,71.50%,"677,225.00","[1, 2, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""16.4%"", ""vote_count"": ""155091""}, {""mayor"": ""Marina"", ""vote_percentage"": ""7.3%"", ""vote_count"": ""69153""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.5%"", ""vote_count"": ""23723""}, {""mayor"": ""Diana"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""21489""}]"
305,"October 5, 2023",Aatrox,68.20%,"600,889.00","[1, 3]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""24.5%"", ""vote_count"": ""215836""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.2%"", ""vote_count"": ""36821""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""17477""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.2%"", ""vote_count"": ""10668""}]"
304,"September 30, 2023",Jerry,95.20%,"963,710.00","[1, 2, 3]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""24635""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""1.1%"", ""vote_count"": ""10861""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""7082""}, {""mayor"": ""Marina"", ""vote_percentage"": ""0.6%"", ""vote_count"": ""6135""}]"
303,"September 25, 2023",Diana,69.30%,"629,970.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""11.5%"", ""vote_count"": ""104458""}, {""mayor"": ""Cole"", ""vote_percentage"": ""7.2%"", ""vote_count"": ""65581""}, {""mayor"": ""Paul"", ""vote_percentage"": ""6.1%"", ""vote_count"": ""55497""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""5.9%"", ""vote_count"": ""53239""}]"
302,"September 20, 2023",Marina,62.90%,"574,728.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""13.8%"", ""vote_count"": ""125701""}, {""mayor"": ""Diana"", ""vote_percentage"": ""10.9%"", ""vote_count"": ""99079""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""9.3%"", ""vote_count"": ""84886""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""28658""}]"
301,"September 14, 2023",Paul,73.90%,"665,114.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""10.1%"", ""vote_count"": ""90901""}, {""mayor"": ""Diana"", ""vote_percentage"": ""6.7%"", ""vote_count"": ""60196""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""5.4%"", ""vote_count"": ""48510""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.9%"", ""vote_count"": ""35431""}]"
300,"September 9, 2023",Cole,72.80%,"749,921.00","[1, 2, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""16.1%"", ""vote_count"": ""165322""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.3%"", ""vote_count"": ""54400""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""30784""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""29253""}]"
299,"September 4, 2023",Marina,77.60%,"819,811.00","[1, 2, 3]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""11.2%"", ""vote_count"": ""118507""}, {""mayor"": ""Paul"", ""vote_percentage"": ""5.6%"", ""vote_count"": ""59220""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.6%"", ""vote_count"": ""37889""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""20926""}]"
298,"August 30, 2023",Diana,54.10%,"507,801.00","[2, 3]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""34.9%"", ""vote_count"": ""328191""}, {""mayor"": ""Cole"", ""vote_percentage"": ""5.4%"", ""vote_count"": ""50985""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.9%"", ""vote_count"": ""27384""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.6%"", ""vote_count"": ""24681""}]"
297,"August 25, 2023",Finnegan,55.10%,"585,103.00","[1, 3, 2]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""33.3%"", ""vote_count"": ""353576""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.8%"", ""vote_count"": ""61285""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""3.4%"", ""vote_count"": ""35962""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""25888""}]"
296,"August 20, 2023",Derpy,95.10%,"940,729.00","[2, 1, 3, 4]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""24049""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.9%"", ""vote_count"": ""9381""}, {""mayor"": ""Diana"", ""vote_percentage"": ""0.8%"", ""vote_count"": ""7553""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""7111""}]"
295,"August 14, 2023",Cole,80.60%,"690,827.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""6.0%"", ""vote_count"": ""51144""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""4.8%"", ""vote_count"": ""40750""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.7%"", ""vote_count"": ""40316""}, {""mayor"": ""Paul"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""33966""}]"
294,"August 9, 2023",Diana,65.80%,"572,506.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""15.3%"", ""vote_count"": ""132878""}, {""mayor"": ""Cole"", ""vote_percentage"": ""13.3%"", ""vote_count"": ""115925""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""24472""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""24453""}]"
293,"August 4, 2023",Paul,70.20%,"608,848.00","[1, 2]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""14.5%"", ""vote_count"": ""125788""}, {""mayor"": ""Cole"", ""vote_percentage"": ""8.6%"", ""vote_count"": ""74704""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""3.5%"", ""vote_count"": ""30708""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""27549""}]"
292,"July 30, 2023",Aatrox,69.00%,"595,619.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""17.7%"", ""vote_count"": ""152522""}, {""mayor"": ""Marina"", ""vote_percentage"": ""7.0%"", ""vote_count"": ""60143""}, {""mayor"": ""Cole"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""38013""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""17354""}]"
289,"July 14, 2023",Marina,76.50%,"656,041.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""7.7%"", ""vote_count"": ""65642""}, {""mayor"": ""Diana"", ""vote_percentage"": ""7.6%"", ""vote_count"": ""65120""}, {""mayor"": ""Paul"", ""vote_percentage"": ""6.7%"", ""vote_count"": ""57476""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""1.5%"", ""vote_count"": ""13065""}]"
288,"July 9, 2023",Scorpius,98.20%,"1,103,910.00","[1, 2]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""0.7%"", ""vote_count"": ""8252""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.4%"", ""vote_count"": ""4478""}, {""mayor"": ""Cole"", ""vote_percentage"": ""0.4%"", ""vote_count"": ""4462""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""0.3%"", ""vote_count"": ""3266""}]"
287,"July 4, 2023",Finnegan,66.70%,"536,333.00","[1, 3, 2]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""11.1%"", ""vote_count"": ""88973""}, {""mayor"": ""Marina"", ""vote_percentage"": ""8.3%"", ""vote_count"": ""67097""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""7.6%"", ""vote_count"": ""61186""}, {""mayor"": ""Cole"", ""vote_percentage"": ""6.2%"", ""vote_count"": ""50218""}]"
286,"June 29, 2023",Diana,59.30%,"487,128.00",[2],,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""18.8%"", ""vote_count"": ""154726""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""11.3%"", ""vote_count"": ""93023""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""6.2%"", ""vote_count"": ""50522""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.3%"", ""vote_count"": ""35451""}]"
285,"June 24, 2023",Paul,74.00%,"567,213.00","[2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""14.9%"", ""vote_count"": ""113949""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.0%"", ""vote_count"": ""37971""}, {""mayor"": ""Cole"", ""vote_percentage"": ""4.1%"", ""vote_count"": ""31708""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""15439""}]"
284,"June 19, 2023",Diana,61.20%,"486,681.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""17.9%"", ""vote_count"": ""142155""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""16.6%"", ""vote_count"": ""131730""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""35092""}, {""mayor"": ""Paul"", ""vote_percentage"": ""0.0%"", ""vote_count"": ""0""}]"
283,"June 13, 2023",Marina,63.40%,"573,538.00","[3, 1]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""21.5%"", ""vote_count"": ""194348""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""8.4%"", ""vote_count"": ""75661""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.1%"", ""vote_count"": ""36832""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.6%"", ""vote_count"": ""23566""}]"
